Episode,TotalReward,Epsilon
353,0.209767,3
354,0.21432,0
355,0.21764,0
356,0.215906,6
357,0.215122,3
358,0.213467,6
359,0.211917,1
360,0.209856,1
361,0.212733,0
362,0.211676,3
363,0.211228,2
364,0.208574,7
365,0.210876,4
366,0.209417,7
367,0.211653,4
368,0.210207,6
369,0.213752,0
370,0.211692,6
371,0.215309,4
372,0.215027,3
373,0.21386,1
374,0.216723,4
375,0.220487,4
376,0.219417,1
377,0.22223,5
378,0.220052,2
379,0.221713,5
380,0.223384,5
381,0.220126,1
382,0.21888,3
383,0.218745,3
384,0.218901,3
385,0.219303,7
386,0.221434,4
387,0.226668,4
388,0.232041,5
389,0.234002,5
390,0.235863,0
391,0.235664,2
392,0.237371,4
393,0.238256,7
394,0.239925,0
395,0.243712,5
396,0.240421,7
397,0.237075,6
398,0.238271,7
399,0.235087,6
400,0.241135,4
401,0.242267,7
402,0.239151,7
403,0.241005,4
404,0.247088,5
405,0.243992,1
406,0.243172,6
407,0.245668,3
408,0.247194,1
409,0.246508,6
410,0.248057,1
411,0.248413,2
412,0.245699,7
413,0.244001,2
414,0.241384,6
415,0.243709,2
416,0.242177,3
417,0.243464,6
418,0.245764,3
419,0.247052,7
420,0.249624,4
421,0.250737,6
422,0.247546,2
423,0.251374,0
424,0.249668,2
425,0.249564,2
426,0.253384,4
427,0.254013,0
428,0.256046,5
429,0.254767,6
430,0.250051,1
431,0.252122,5
432,0.250801,1
433,0.252819,5
434,0.25246,2
435,0.256156,4
436,0.251347,7
437,0.250138,7
438,0.248941,7
439,0.252653,5
440,0.252273,2
441,0.255948,0
442,0.257727,4
443,0.252697,6
444,0.24871,3
445,0.243883,7
446,0.242599,6
447,0.238904,3
448,0.239326,4
449,0.234853,7
450,0.238368,0
451,0.235325,6
452,0.230812,7
453,0.234279,5
454,0.232686,7
455,0.232213,2
456,0.230739,7
457,0.234206,4
458,0.229847,6
459,0.230424,5
460,0.233656,4
461,0.234035,4
462,0.234298,4
463,0.234459,0
464,0.235963,0
465,0.23344,2
466,0.236415,5
467,0.239253,0
468,0.235528,7
469,0.233494,7
470,0.236371,4
471,0.236075,4
472,0.230835,1
473,-0.772836,1
